Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,ACS23_5yr_B25001001,ACS23_5yr_B25001001s,ACS23_5yr_B25003001,ACS23_5yr_B25003002,ACS23_5yr_B25003003,ACS23_5yr_B25003001s,ACS23_5yr_B25003002s,ACS23_5yr_B25003003s,ACS23_5yr_B25008001,ACS23_5yr_B25008002,ACS23_5yr_B25008003,ACS23_5yr_B25008001s,ACS23_5yr_B25008002s,ACS23_5yr_B25008003s,ACS23_5yr_B25008B001,ACS23_5yr_B25008B002,ACS23_5yr_B25008B003,ACS23_5yr_B25008B001s,ACS23_5yr_B25008B002s,ACS23_5yr_B25008B003s,ACS23_5yr_B25008D001,ACS23_5yr_B25008D002,ACS23_5yr_B25008D003,ACS23_5yr_B25008D001s,ACS23_5yr_B25008D002s,ACS23_5yr_B25008D003s,ACS23_5yr_B25008H001,ACS23_5yr_B25008H002,ACS23_5yr_B25008H003,ACS23_5yr_B25008H001s,ACS23_5yr_B25008H002s,ACS23_5yr_B25008H003s,ACS23_5yr_B25008I001,ACS23_5yr_B25008I002,ACS23_5yr_B25008I003,ACS23_5yr_B25008I001s,ACS23_5yr_B25008I002s,ACS23_5yr_B25008I003s
"ACSSF","ca","140","00",,,,"06","037",,,"620101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620101","Census Tract 6201.01",,,"Census Tract 6201.01, Los Angeles County, California","06037620101","1335926","3064",,,2309,140.6061,2080,1177,903,142.4242,127.8788,165.4545,5411,3250,2161,310.303,315.7576,398.7879,92,36,56,64.84849,34.54546,53.93939,539,314,225,165.4545,129.697,123.6364,3325,2019,1306,428.4849,355.1515,332.7273,745,409,336,223.6364,140,185.4545
"ACSSF","ca","140","00",,,,"06","037",,,"620102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620102","Census Tract 6201.02",,,"Census Tract 6201.02, Los Angeles County, California","06037620102","871913","0",,,1950,184.8485,1883,470,1413,184.8485,63.0303,186.6667,3827,1151,2676,320.606,151.5152,332.7273,41,0,41,41.81818,8.484848,41.81818,342,76,266,115.7576,49.09091,109.697,2821,875,1946,294.5454,142.4242,311.5151,514,188,326,135.7576,86.66666,116.9697
"ACSSF","ca","140","00",,,,"06","037",,,"620201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620201","Census Tract 6202.01",,,"Census Tract 6202.01, Los Angeles County, California","06037620201","229583","183201",,,957,67.87878,885,254,631,76.36364,38.78788,81.81818,1548,463,1085,209.697,76.36364,209.0909,9,9,0,8.484848,8.484848,8.484848,41,23,18,25.45455,22.42424,10.30303,1345,379,966,219.3939,83.0303,211.5152,76,24,52,27.87879,16.9697,23.63636
"ACSSF","ca","140","00",,,,"06","037",,,"620301",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620301","Census Tract 6203.01",,,"Census Tract 6203.01, Los Angeles County, California","06037620301","1038671","0",,,1596,82.42424,1487,1194,293,94.54546,107.8788,61.21212,4223,3600,623,315.7576,324.8485,124.8485,0,0,0,8.484848,8.484848,8.484848,313,313,0,93.33334,93.33334,8.484848,3099,2581,518,270.9091,258.7879,134.5455,577,527,50,196.3636,194.5455,40.60606
"ACSSF","ca","140","00",,,,"06","037",,,"620303",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620303","Census Tract 6203.03",,,"Census Tract 6203.03, Los Angeles County, California","06037620303","1158102","0",,,1949,149.0909,1783,1170,613,164.8485,112.1212,136.9697,4646,3315,1331,358.1818,289.0909,284.2424,0,0,0,8.484848,8.484848,8.484848,712,665,47,136.9697,132.7273,44.24242,3556,2357,1199,356.9697,290.9091,249.697,213,154,59,100,87.27273,46.66667
"ACSSF","ca","140","00",,,,"06","037",,,"620305",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620305","Census Tract 6203.05",,,"Census Tract 6203.05, Los Angeles County, California","06037620305","1265579","1275093",,,3137,193.9394,2387,1354,1033,210.303,143.6364,174.5455,6038,3896,2142,611.5151,530.9091,429.0909,0,0,0,11.51515,11.51515,11.51515,510,301,209,232.7273,110.303,195.1515,4984,3095,1889,527.2727,414.5454,466.6667,73,34,39,43.63636,33.93939,29.09091
"ACSSF","ca","140","00",,,,"06","037",,,"620400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620400","Census Tract 6204",,,"Census Tract 6204, Los Angeles County, California","06037620400","2567686","10360",,,2092,116.9697,1987,1362,625,117.5758,136.3636,93.33334,5218,3684,1534,468.4849,513.9394,256.3636,49,0,49,35.15152,11.51515,35.15152,1503,1503,0,469.0909,469.0909,11.51515,3213,1993,1220,296.9697,272.1212,241.8182,346,102,244,140.6061,72.12122,144.8485
"ACSSF","ca","140","00",,,,"06","037",,,"620501",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620501","Census Tract 6205.01",,,"Census Tract 6205.01, Los Angeles County, California","06037620501","2590361","0",,,2143,158.1818,2143,1342,801,158.1818,170.303,109.697,5791,3827,1964,429.0909,432.7273,332.1212,423,27,396,176.9697,30.30303,173.3333,1264,1051,213,251.5152,260.606,103.0303,2933,2029,904,341.2121,300.606,199.3939,797,489,308,298.7879,213.9394,209.0909
"ACSSF","ca","140","00",,,,"06","037",,,"620521",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620521","Census Tract 6205.21",,,"Census Tract 6205.21, Los Angeles County, California","06037620521","644213","0",,,1866,139.3939,1797,842,955,144.2424,124.2424,128.4848,4569,2288,2281,443.6364,434.5454,249.697,27,16,11,21.21212,16.9697,17.57576,1011,669,342,209.697,160.6061,163.0303,2674,1462,1212,491.5151,423.6364,223.6364,678,92,586,180.6061,49.69697,176.3636
"ACSSF","ca","140","00",,,,"06","037",,,"620522",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620522","Census Tract 6205.22",,,"Census Tract 6205.22, Los Angeles County, California","06037620522","748359","0",,,2054,136.3636,1830,1078,752,143.6364,130.303,81.21212,4616,2760,1856,310.303,228.4848,256.3636,76,0,76,47.87879,8.484848,47.87879,762,441,321,113.3333,91.51515,95.75758,2895,1923,972,291.5151,201.2121,214.5455,579,278,301,153.3333,70.30303,133.3333
"ACSSF","ca","140","00",,,,"06","037",,,"620601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620601","Census Tract 6206.01",,,"Census Tract 6206.01, Los Angeles County, California","06037620601","1365682","0",,,2426,158.7879,2294,945,1349,127.2727,116.9697,115.7576,6154,2626,3528,332.1212,323.6364,410.303,12,12,0,13.33333,13.33333,11.51515,1746,1168,578,390.303,269.697,339.394,2761,1049,1712,347.8788,259.394,312.7273,1178,337,841,318.1818,173.3333,287.2727
"ACSSF","ca","140","00",,,,"06","037",,,"620602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620602","Census Tract 6206.02",,,"Census Tract 6206.02, Los Angeles County, California","06037620602","1348736","0",,,2204,178.1818,2104,1590,514,168.4848,176.9697,101.8182,5846,4323,1523,428.4849,473.3333,351.5151,0,0,0,11.51515,11.51515,11.51515,1017,714,303,269.697,241.8182,160.6061,3920,3018,902,500.606,470.9091,261.8182,296,203,93,126.0606,108.4848,69.69697
"ACSSF","ca","140","00",,,,"06","037",,,"620701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620701","Census Tract 6207.01",,,"Census Tract 6207.01, Los Angeles County, California","06037620701","1019068","0",,,2958,206.6667,2910,1541,1369,190.303,150.9091,186.0606,7125,4040,3085,489.697,447.8788,441.2121,192,88,104,127.2727,72.12122,104.8485,1575,1202,373,378.7879,327.2727,187.2727,3931,2261,1670,487.2727,375.7576,337.5757,1092,223,869,306.0606,93.93939,304.2424
"ACSSF","ca","140","00",,,,"06","037",,,"620703",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620703","Census Tract 6207.03",,,"Census Tract 6207.03, Los Angeles County, California","06037620703","577439","0",,,1272,76.9697,1200,946,254,98.78788,97.57576,53.33333,3637,2945,692,406.0606,390.9091,144.8485,0,0,0,8.484848,8.484848,8.484848,524,445,79,149.697,131.5152,76.36364,2405,2086,319,355.7576,341.8182,110.9091,437,236,201,109.697,81.81818,101.8182
"ACSSF","ca","140","00",,,,"06","037",,,"620704",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620704","Census Tract 6207.04",,,"Census Tract 6207.04, Los Angeles County, California","06037620704","747423","0",,,1302,98.78788,1182,829,353,87.87878,93.33334,50.90909,3817,2930,887,409.0909,440,160,0,0,0,8.484848,8.484848,8.484848,809,667,142,300,298.1818,80,2509,1934,575,293.3333,300,144.8485,247,247,0,92.12122,92.12122,8.484848
"ACSSF","ca","140","00",,,,"06","037",,,"620801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620801","Census Tract 6208.01",,,"Census Tract 6208.01, Los Angeles County, California","06037620801","1193767","0",,,1448,61.81818,1320,1151,169,81.21212,84.24242,49.69697,3949,3664,285,259.394,283.0303,93.93939,21,21,0,23.0303,23.0303,8.484848,998,990,8,172.7273,172.1212,8.484848,2350,2202,148,279.394,278.7879,62.42424,399,374,25,218.1818,216.3636,23.0303
"ACSSF","ca","140","00",,,,"06","037",,,"620802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620802","Census Tract 6208.02",,,"Census Tract 6208.02, Los Angeles County, California","06037620802","1286519","0",,,1408,212.7273,1353,794,559,214.5455,95.15151,212.7273,3468,2279,1189,451.5151,293.9394,442.4243,78,0,78,58.18182,8.484848,58.18182,494,347,147,112.7273,95.75758,106.0606,2624,1772,852,476.9697,271.5151,429.0909,121,56,65,41.21212,35.15152,32.12121
